Pair: PRPH and TV, Profit: 10974.896415450707
Pair: NEUP and XLO, Profit: 10399.17062719773
Pair: INNV and MTVA, Profit: 8513.316968831314
Pair: ATPC and EMP, Profit: 8500.4057055097
Pair: DRTS and MTVA, Profit: 7915.567553441084
Pair: TLF and TLSI, Profit: 7409.4768961233
Pair: BTCT and RIOT, Profit: 7015.830503437585
Pair: CALC and MASS, Profit: 6945.716637401134
Pair: BTCT and CLSK, Profit: 6937.301245087366
Pair: BBAI and OKLO, Profit: 6898.7691918555865
Pair: MTVA and NUW, Profit: 6856.501799238953
Pair: NUV and ZEO, Profit: 6673.53535787156
Pair: BEEP and SLSR, Profit: 6392.653632912732
Pair: LTBR and OKLO, Profit: 6385.1632918524
Pair: AISPW and MLCO, Profit: 6313.0031282338905
Pair: BTCT and MARA, Profit: 5916.482520452116
Pair: CMRX and SCNI, Profit: 5759.405748695382
Pair: VLYPN and ZEO, Profit: 5741.5070211934535
Pair: AISPW and IPA, Profit: 5738.959784544277
Pair: CVGI and NNAVW, Profit: 5696.985698764778
Pair: AFRI and CTNM, Profit: 5486.072890668151
Pair: BEEP and UFI, Profit: 5281.840933807499
Pair: MSIF and TLSI, Profit: 5168.015924302613
Pair: RECT and WALD, Profit: 5081.818063304971
Pair: DRTS and NUW, Profit: 5074.667181929366
Pair: DOYU and QRTEP, Profit: 4972.337611021822
Pair: AMPS and RSSS, Profit: 4865.143739281092
Pair: LAES and QUBT, Profit: 4786.953692818716
Pair: AP and FENC, Profit: 4716.362601950566
Pair: NVDA and TEM, Profit: 4713.647302331673
Pair: BITF and BTCT, Profit: 4680.036698790501
Pair: AISPW and HZO, Profit: 4635.5878169254775
Pair: RIOT and SERV, Profit: 4607.7299529201255
Pair: JRI and MTVA, Profit: 4587.661101735662
Pair: NNE and TEM, Profit: 4510.779861691713
Pair: INBX and METCB, Profit: 4465.468126770409
Pair: RIOT and SOUN, Profit: 4414.556805889788
Pair: CLSK and SOUN, Profit: 4386.082448230383
Pair: CRWS and NEXA, Profit: 4350.792874630184
Pair: BTCT and JEF, Profit: 4342.299833480161
Pair: MAZE and MBIN, Profit: 4339.413345551265
Pair: SERV and SOFI, Profit: 4320.42378669683
Pair: CEAD and RS, Profit: 4308.564075972637
Pair: ATLO and ATRA, Profit: 4307.5845259016605
Pair: GOOG and RGTI, Profit: 4303.061519213816
Pair: CLS and OKLO, Profit: 4253.475216274659
Pair: CVKD and TRNO, Profit: 4232.764103979448
Pair: CLSK and SERV, Profit: 4196.06733837734
Pair: EFOI and PGY, Profit: 4159.4781796969455
Pair: NVDA and SMCI, Profit: 4144.738177323976
Pair: OKLO and VRT, Profit: 4083.6435404787435
Pair: NNE and VRT, Profit: 4007.578943336199
Pair: CLS and TEM, Profit: 3995.4855014484397
Pair: COHU and DOYU, Profit: 3901.8654800626027
Pair: ALCO and ZEO, Profit: 3894.4276425002868
Pair: DNTH and ELVN, Profit: 3861.6427249796675
Pair: NVDA and OKLO, Profit: 3840.862942160847
Pair: ACHR and NVDA, Profit: 3814.030707957007
Pair: GOOGL and RGTI, Profit: 3789.70879841501
Pair: NNE and NVDA, Profit: 3717.86493717737
Pair: CEAD and MERC, Profit: 3698.182197749143
Pair: NNE and VST, Profit: 3681.623432949961
Pair: NVDA and SOUN, Profit: 3678.2655553813966
Pair: GDS and VNET, Profit: 3663.0351851478727
