Pair: CRC and EQNR, Profit: 9421.393089484984
Pair: MRC and PEO, Profit: 9414.733587370962
Pair: BGR and CRC, Profit: 8355.445535880623
Pair: NOG and PEO, Profit: 7805.100123464154
Pair: MRC and PTEN, Profit: 7779.936185587946
Pair: GPOR and RRC, Profit: 7744.48135377453
Pair: OII and OIS, Profit: 6565.368515896691
Pair: IRS and PAM, Profit: 6286.088120517838
Pair: HUBS and IAC, Profit: 6193.456008386661
Pair: AU and HMY, Profit: 6013.8466423431755
Pair: CRC and PTEN, Profit: 6005.810121396398
Pair: CRESY and IRS, Profit: 5845.968411181191
Pair: IRS and TGS, Profit: 5806.715969842904
Pair: PTEN and WTTR, Profit: 5749.9338645813095
Pair: HES and KOS, Profit: 5667.655819598746
Pair: KMT and ON, Profit: 5440.3053900141
Pair: CRESY and SUPV, Profit: 5373.856501664161
Pair: CPRI and EMN, Profit: 5289.117302493798
Pair: WHLRP and WHLRD, Profit: 5237.527722661974
Pair: ON and TEX, Profit: 5168.715988010423
Pair: CRESY and TGS, Profit: 5023.373009583958
Pair: EMN and GIII, Profit: 5002.81634499115
Pair: IPGP and ON, Profit: 4984.992047424619
Pair: EQNR and NOG, Profit: 4967.133260850238
Pair: OKTA and SHOP, Profit: 4799.618229881427
Pair: AROC and CVE, Profit: 4772.50677542256
Pair: HLX and PEO, Profit: 4761.053808294955
Pair: BTE and CVE, Profit: 4666.702369220163
Pair: UEC and UUUU, Profit: 4647.8920550624125
Pair: FSM and SA, Profit: 4578.694976173507
Pair: AVT and KMT, Profit: 4529.463500858495
Pair: BTO and EFSC, Profit: 4461.44094726573
Pair: NDSN and PII, Profit: 4411.689134823281
Pair: HTHT and MLCO, Profit: 4395.552402363525
Pair: AME and H, Profit: 4371.443811025805
Pair: AL and MU, Profit: 4371.079842656307
Pair: LRCX and UCTT, Profit: 4295.417517527218
Pair: MGY and PTEN, Profit: 4210.6275076030015
Pair: OIS and SM, Profit: 4166.929240672638
Pair: CEPU and CRESY, Profit: 4160.214692816829
Pair: R and TEX, Profit: 4109.413876282431
Pair: EMN and IBTX, Profit: 4036.6773180798646
Pair: SWK and URI, Profit: 4006.848710239601
Pair: GATX and HTLF, Profit: 3973.2725152623584
Pair: INTU and LYV, Profit: 3938.6125977316815
Pair: AME and HRI, Profit: 3908.7557161161594
Pair: ASTE and FELE, Profit: 3904.222842000686
Pair: HOG and MS, Profit: 3899.4707467626595
Pair: EXK and SA, Profit: 3830.9320176408937
Pair: NOW and PAYC, Profit: 3777.131362451007
Pair: RF and TBBK, Profit: 3763.5145663632893
Pair: FANG and MUR, Profit: 3758.089889841029
Pair: AL and CFG, Profit: 3726.9710996919966
Pair: AG and AU, Profit: 3719.5952584549404
Pair: BHF and RVT, Profit: 3704.1767610095444
Pair: ARW and WLK, Profit: 3704.023554270138
Pair: PEGA and RNG, Profit: 3668.490795725993
Pair: ON and URI, Profit: 3585.5399519483144
Pair: SUPV and TGS, Profit: 3564.4295004144933
Pair: CSQ and CSTM, Profit: 3558.424438202722
Pair: ON and RHI, Profit: 3534.0742430830696
Pair: GATX and NPO, Profit: 3526.809892053463
Pair: ANSS and RNG, Profit: 3480.7165318207603
Pair: RNG and SNPS, Profit: 3448.764874826753
Pair: BHF and FLS, Profit: 3436.0829339631723
Pair: BHF and GDV, Profit: 3428.339163618191
Pair: CRM and PEGA, Profit: 3407.128444694845
Pair: AMG and IBTX, Profit: 3365.6062347415505
Pair: BSRR and FMBH, Profit: 3347.944478671748
Pair: IPGP and ROK, Profit: 3335.015580532919
Pair: BHF and BTO, Profit: 3311.2548769753967
Pair: CRC and TS, Profit: 3308.63228158554
Pair: APA and FANG, Profit: 3294.806401395691
Pair: CEPU and TGS, Profit: 3284.660452275485
Pair: BHF and FUL, Profit: 3279.500772031694
Pair: SWK and WCC, Profit: 3266.923583305314
Pair: HRI and ITT, Profit: 3266.7142993708676
Pair: NPO and OMF, Profit: 3265.711966855189
Pair: BHF and RJF, Profit: 3243.8838320338377
Pair: LSTR and MTX, Profit: 3231.0910361136553
Pair: FUL and PATK, Profit: 3226.971810714326
Pair: ANSS and PEGA, Profit: 3219.191853345221
Pair: CDE and SA, Profit: 3210.0826540217477
Pair: COLB and SFST, Profit: 3184.1461965433227
Pair: MGY and NOG, Profit: 3172.838799927556
Pair: GGB and VALE, Profit: 3156.7534946627625
Pair: EXK and SAND, Profit: 3134.9006399222058
Pair: LECO and MCHP, Profit: 3132.8218780584143
Pair: CCNE and MBWM, Profit: 3126.518179760429
Pair: FISI and SFST, Profit: 3123.425031685382
Pair: DCI and IPGP, Profit: 3117.6964071173143
Pair: AVT and GDV, Profit: 3079.2767713215667
Pair: TRMB and URI, Profit: 3020.163203429722
Pair: FFIN and FFWM, Profit: 3014.6015177002832
Pair: BGR and HLX, Profit: 2998.098732200387
Pair: OKTA and VEEV, Profit: 2971.344112144804
Pair: HOPE and OSBC, Profit: 2969.772942681391
Pair: ETSY and TWLO, Profit: 2968.4845145483614
Pair: ARW and HRI, Profit: 2967.3384340608036
Pair: LFUS and URI, Profit: 2966.5710368231116
Pair: BHF and EWBC, Profit: 2902.229657117859
Pair: BHF and CFG, Profit: 2883.6182301014273
Pair: KLIC and RVT, Profit: 2876.4676854646623
Pair: NDSN and NXPI, Profit: 2864.3958637236333
Pair: URG and UUUU, Profit: 2861.8532470589516
Pair: NBTB and TBBK, Profit: 2854.1390911121885
Pair: ICHR and UCTT, Profit: 2846.911874263502
Pair: BUSE and SFST, Profit: 2845.645170507523
Pair: KMT and R, Profit: 2835.4213914583074
Pair: BHF and KEY, Profit: 2819.3819497113673
Pair: CSTM and KKR, Profit: 2817.856108219225
Pair: SWK and VAC, Profit: 2814.1242200740735
Pair: BHF and PB, Profit: 2806.7831596323
Pair: AROC and HLX, Profit: 2795.7207473290814
Pair: CADE and NBHC, Profit: 2785.64243821626
Pair: CBU and OCFC, Profit: 2762.5055926498553
Pair: LECO and MGA, Profit: 2759.089881664589
Pair: AEIS and TER, Profit: 2751.79575749878
Pair: EFSC and ZION, Profit: 2747.0907033410595
Pair: EMR and ON, Profit: 2746.3202504633073
