('GNLN','RVNC',1)
('CLSK','RIOT',1)
('CLSK','MARA',1)
('ASAN','PD',1)
('Z','ZG',1)
('OLMA','PRAA',1)
('ARM','TSM',1)
('CNTA','ULBI',1)
('FFIN','HBNC',1)
('FFIN','NFBK',1)
('ARM','NVDA',1)
('CCL','CUK',1)
('ARM','AVGO',1)
('LXP','OLMA',1)
('MARA','RIOT',1)
('FFIN','OLMA',1)
('TOWN','TRMK',1)
('COIN','MSTR',1)
('CBU','INDB',1)
('CCS','TMHC',1)
('BKU','TCBI',1)
('CBU','WSFS',1)
('CENTA','CENT',1)
('DMRC','PRAA',1)
('PNFP','WTFC',1)
('AMD','TSM',1)
('FFIN','WSFS',1)
('AORT','CDMO',1)
('FFIN','TCBI',1)
('BHLB','TRMK',1)
('FFIN','OFG',1)
('FFIN','INDB',1)
('HWC','WSFS',1)
('BHLB','WSFS',1)
('DCOM','WSFS',1)
('FFIN','SBCF',1)
('FFIC','PB',1)
('EWBC','PNFP',1)
('OFG','WSFS',1)
('SBCF','UCB',1)
('FFIN','VBTX',1)
('FFIN','NBHC',1)
('FFIN','OCFC',1)
('AVGO','TSM',1)
('FIBK','OFG',1)
('BZH','TPH',1)
('FFIN','PPBI',1)
('FBMS','FFIN',1)
('FFIN','TRMK',1)
('DMRC','FFIN',1)
('OFG','TRMK',1)
('NBHC','WSFS',1)
('BHLB','OCFC',1)
('BKU','OFG',1)
('FIBK','PPBI',1)
('CATY','WSFS',1)
('BHLB','TOWN',1)
('FFIN','UBSI',1)
('NFBK','NWBI',1)
('BHLB','SBCF',1)
('CCS','TPH',1)
('FFIN','SFNC',1)
('PFC','WSBC',1)
('PRAA','UTI',1)
('BHLB','UCB',1)
('FFBC','FFIN',1)
('BKU','FFIN',1)
('FFIN','UCB',1)
('BHLB','VBTX',1)
('FFIN','PFC',1)
('BHLB','WSBC',1)
('OFG','SNV',1)
('FFIN','FIBK',1)
('DMRC','UTI',1)
('OLMA','UTI',1)
('AUB','TRMK',1)
('FFIN','FHB',1)
('FBMS','RNST',1)
('GOOGL','GOOG',1)
('CFR','PNFP',1)
('OFG','UCB',1)
('DMRC','HWC',1)
('OCFC','PFS',1)
('FFBC','TOWN',1)
('FFIN','WAFD',1)
('CBU','NBHC',1)
('PNFP','WSFS',1)
('CBU','GBCI',1)
('AMD','AVGO',1)
('AORT','FFIN',1)
('PPBI','SBCF',1)
('ABCB','FFIN',1)
('ABCB','WSFS',1)
('FCF','NFBK',1)
('DMO','OLMA',1)
('FBMS','PFC',1)
('CBSH','TCBI',1)
('FFBC','PFC',1)
('OFG','WSBC',1)
('TRMK','UCB',1)
('CBSH','CBU',1)
('CBU','TOWN',1)
('HOMB','PFC',1)
('BKU','WSFS',1)
('BHLB','FFBC',1)
('BHLB','SFNC',1)
('AMD','MU',1)
('AUB','PPBI',1)
('TCBI','WAFD',1)
('BHLB','CVBF',1)
('BOH','CVBF',1)
('CATY','PB',1)
('AORT','UTI',1)
('ASB','BHLB',1)
('TOWN','WSBC',1)
('OFG','UBSI',1)
('AUB','TOWN',1)
('SNV','TCBI',1)
('AORT','INVA',1)
('BKU','PEBO',1)
('FIBK','TRMK',1)
('FRME','UBSI',1)
('CATY','UBSI',1)
('SBCF','UBSI',1)
('PB','WSFS',1)
('ASB','CBU',1)
('CATY','TCBI',1)
('CBU','TRMK',1)
('TOWN','UBSI',1)
('BHLB','CATY',1)
('OCFC','TRMK',1)
('TRMK','WSFS',1)
('FBMS','UCB',1)
('PFC','TOWN',1)
('FBMS','OFG',1)
('AUB','UBSI',1)
('EQH','URI',1)
('TOWN','UCB',1)
('HOMB','OFG',1)
('ABCB','PNFP',1)
('BKU','DMRC',1)
('SUPN','TG',1)
('UBSI','UCB',1)
('BHLB','PFS',1)
('HWC','OFG',1)
('BC','PII',1)
('AUB','TCBI',1)
('IR','URI',1)
('CVBF','OCFC',1)
('HWC','PPBI',1)
('WAFD','WSFS',1)
('FFIN','HTBK',1)
('FBMS','TOWN',1)
('FFBC','OFG',1)
('PPBI','WAFD',1)
('NFBK','TRMK',1)
('TRMK','UBSI',1)
('CATY','WAFD',1)
('PPBI','TRMK',1)
('CBSH','WSFS',1)
('AUB','WSFS',1)
