('ABG', 'CBT', 0.6128420021704867)
('ACA', 'CBT', 0.6076099018220206)
('AEE', 'CMS', 0.7086384826683163)
('AEE', 'DTE', 0.6913073488999846)
('AEE', 'OGE', 0.6470910076316956)
('AMD', 'NVDA', 0.6320753819292854)
('ASB', 'CVBF', 0.6457573896580323)
('ASB', 'HOMB', 0.6407824419548355)
('ASB', 'SFNC', 0.6221594637130636)
('ATO', 'CMS', 0.6002449367984213)
('AUB', 'BRKL', 0.6845987965306897)
('AUB', 'CBU', 0.6617031905590123)
('AUB', 'CNOB', 0.6007342428839437)
('AUB', 'CVBF', 0.701490207115686)
('AUB', 'FHB', 0.6245441300754371)
('AUB', 'FIBK', 0.6774879925734653)
('AUB', 'FRME', 0.7022305463332935)
('AUB', 'HOMB', 0.6231867081467759)
('AUB', 'PB', 0.6584742163169456)
('AUB', 'PFS', 0.6119200277061617)
('AUB', 'PPBI', 0.6625434204521308)
('AUB', 'SFNC', 0.7276742078399551)
('AUB', 'SSB', 0.667254554350707)
('AUB', 'UBSI', 0.7605259444187441)
('AUB', 'WSFS', 0.6561481552436896)
('AVNT', 'CBT', 0.6365844352335831)
('AVNT', 'FUL', 0.6374276496106173)
('AVNT', 'HLMN', 0.6077387147916598)
('AVNT', 'KFY', 0.6018342019334233)
('AVNT', 'KMT', 0.6116183506301426)
('AVNT', 'REZI', 0.6143426341737801)
('AVNT', 'UBSI', 0.6107800958010573)
('BAC', 'JPM', 0.6184665892240784)
('BRKL', 'CBU', 0.6219831866074768)
('BRKL', 'CVBF', 0.6923184689973629)
('BRKL', 'FHB', 0.6044279649511691)
('BRKL', 'FIBK', 0.6713903206532745)
('BRKL', 'FRME', 0.6827275360665476)
('BRKL', 'HOMB', 0.622105912490043)
('BRKL', 'PB', 0.6110602023782568)
('BRKL', 'PFS', 0.6132916821904917)
('BRKL', 'PPBI', 0.6987128802120605)
('BRKL', 'SFNC', 0.7190490104262843)
('BRKL', 'SSB', 0.6568064118779899)
('BRKL', 'UBSI', 0.7554165409893144)
('BRKL', 'VBTX', 0.61274191355042)
('BRKL', 'WSFS', 0.6476394414097567)
('BRY', 'MUR', 0.6403767421509808)
('BUSE', 'UBSI', 0.6000975509751124)
('BY', 'SFNC', 0.6107089556934249)
('BY', 'UBSI', 0.6301458105529204)
('CBT', 'FUL', 0.6447678960123923)
('CBU', 'CVBF', 0.6265550396902413)
('CBU', 'FFBC', 0.6306934385943705)
('CBU', 'FHB', 0.6099280866782467)
('CBU', 'FIBK', 0.6176941944560472)
('CBU', 'FRME', 0.6169723416429599)
('CBU', 'PPBI', 0.6293018287686667)
('CBU', 'SFNC', 0.6855793389244118)
('CBU', 'SSB', 0.6114633715704253)
('CBU', 'UBSI', 0.7028560572980377)
('CBU', 'WSFS', 0.6082540539027865)
('CCL', 'NCLH', 0.6618133882400319)
('CHTR', 'LBRDK', 0.6038150666007941)
('CLSK', 'COIN', 0.6737859270484566)
('CLSK', 'MARA', 0.7570805589724121)
('CLSK', 'RIOT', 0.7669035020234501)
('CMS', 'DTE', 0.7215084619840325)
('CMS', 'ETR', 0.6070569114467611)
('CMS', 'FE', 0.6071200219371395)
('CMS', 'OGE', 0.6472304584302168)
('CNOB', 'SFNC', 0.6017241373869309)
('CNOB', 'UBSI', 0.6541280979894237)
('COIN', 'MARA', 0.6723365578475212)
('COIN', 'RIOT', 0.665226045421208)
('CPT', 'MAA', 0.6253920943059211)
('CVBF', 'FFBC', 0.6249470536082106)
('CVBF', 'FHB', 0.6308150431918996)
('CVBF', 'FIBK', 0.6899640198806504)
('CVBF', 'FRME', 0.6516003570875967)
('CVBF', 'HOMB', 0.7193326884016396)
('CVBF', 'HOPE', 0.6098231612840713)
('CVBF', 'IBOC', 0.601723873304507)
('CVBF', 'OCFC', 0.6136610918166837)
('CVBF', 'PB', 0.6529499260809986)
('CVBF', 'PFS', 0.6833884673909867)
('CVBF', 'PPBI', 0.7145484072203999)
('CVBF', 'SFNC', 0.7434690640639048)
('CVBF', 'SNV', 0.6363253629250603)
('CVBF', 'SSB', 0.6475980143435294)
('CVBF', 'UBSI', 0.7200300297921508)
('CVBF', 'WSFS', 0.64359574827733)
('DJT', 'DJTWW', 0.8659596878843105)
('DJT', 'INTZ', 0.6554366720449715)
('DJT', 'PHUN', 0.7971452650109605)
('DJTWW', 'PHUN', 0.7131426520200123)
('DTE', 'ETR', 0.6043819495953398)
('DTE', 'OGE', 0.649359516501882)
('ESNT', 'MTG', 0.62898594559198)
('ESNT', 'RDN', 0.6571011440351329)
('FFBC', 'FIBK', 0.6176195210821763)
('FFBC', 'HOMB', 0.62037147406994)
('FFBC', 'PPBI', 0.616738628719545)
('FFBC', 'SFNC', 0.6781635049208248)
('FFBC', 'SSB', 0.6397807609840847)
('FFBC', 'UBSI', 0.6755110485113656)
