('ABCB', 'SBCF', 0.6048727872311478)
('AKA', 'EXPO', 0.649512580396255)
('AKA', 'GBX', 0.6488614281193642)
('AMAT', 'LRCX', 0.641627201981443)
('ARW', 'PSMT', 0.6051368378111213)
('BABA', 'BEKE', 0.6468535063682197)
('BABA', 'BIDU', 0.8604466907476057)
('BABA', 'BILI', 0.7816866501739195)
('BABA', 'FUTU', 0.7139057809521447)
('BABA', 'JD', 0.8439769068611798)
('BABA', 'LI', 0.686603284318186)
('BABA', 'MNSO', 0.6388586390964268)
('BABA', 'NIO', 0.6755464761235502)
('BABA', 'NTES', 0.6911995007768578)
('BABA', 'PDD', 0.7693209331451115)
('BABA', 'TCOM', 0.7316667198410488)
('BABA', 'TIGR', 0.6283287212670443)
('BABA', 'XPEV', 0.6644279220471504)
('BANR', 'HOMB', 0.703014457507634)
('BEKE', 'BIDU', 0.6218081408123008)
('BEKE', 'BILI', 0.6533608769612719)
('BEKE', 'FUTU', 0.6314989015602461)
('BEKE', 'JD', 0.6666446258437418)
('BEKE', 'PDD', 0.6257256803573223)
('BHP', 'RIO', 0.7116978820828767)
('BIDU', 'BILI', 0.7725781744846802)
('BIDU', 'FUTU', 0.7193689846845829)
('BIDU', 'JD', 0.8078457925823865)
('BIDU', 'LI', 0.6623652443148826)
('BIDU', 'MNSO', 0.6172958927231831)
('BIDU', 'NIO', 0.671170859043995)
('BIDU', 'NTES', 0.6734613113841181)
('BIDU', 'PDD', 0.751274488073914)
('BIDU', 'RIO', 0.6167951881318312)
('BIDU', 'TCOM', 0.7075033344718962)
('BIDU', 'TIGR', 0.6284842933548631)
('BIDU', 'VIPS', 0.6041636934634225)
('BIDU', 'WB', 0.6026889677549934)
('BIDU', 'XPEV', 0.6700432151648553)
('BILI', 'FUTU', 0.7100808439211493)
('BILI', 'JD', 0.7851519916372437)
('BILI', 'LI', 0.6773585975292817)
('BILI', 'MNSO', 0.6334915256410569)
('BILI', 'NIO', 0.6734127871753041)
('BILI', 'NTES', 0.6568217326087685)
('BILI', 'PDD', 0.7586270598189082)
('BILI', 'TCOM', 0.7036033725958467)
('BILI', 'XPEV', 0.6465069648041736)
('BP', 'SHEL', 0.6213492286509676)
('BPYPP', 'ERC', 0.6746068727886634)
('BPYPP', 'ISD', 0.6990923540624273)
('CADE', 'ONB', 0.6157783427256973)
('CCL', 'CUK', 0.8453158478497073)
('CLSK', 'COIN', 0.6294766591234672)
('CLSK', 'IREN', 0.6622353537836657)
('CLSK', 'MARA', 0.7569380530415382)
('CLSK', 'RIOT', 0.6420678301396495)
('CNA', 'L', 0.6056198132833815)
('COIN', 'MARA', 0.6288748586540353)
('COIN', 'MSTR', 0.6373913224285942)
('CORZ', 'CORZW', 0.6055655237572537)
('CPRI', 'DXCM', 0.6479028099810172)
('CPT', 'LNT', 0.6347886147120675)
('CSQ', 'OGS', 0.6779108790069451)
('CTKB', 'TPZ', 0.609158482329981)
('EOS', 'OGS', 0.6203479072316138)
('ERC', 'ISD', 0.622293158615872)
('EVRG', 'OGE', 0.6102574614056039)
('FBMS', 'RNST', 0.7082561273963052)
('FCF', 'HTBK', 0.6129544632570607)
('FFBC', 'FHB', 0.6039432891166717)
('FHB', 'FIBK', 0.6229197737457507)
('FHB', 'ONB', 0.6034771163905692)
('FIBK', 'ONB', 0.6059671088141882)
('FUTU', 'JD', 0.7285984993361193)
('FUTU', 'LI', 0.6380879979996978)
('FUTU', 'NIO', 0.6086657076692312)
('FUTU', 'NTES', 0.6087043565877598)
('FUTU', 'PDD', 0.7194063760635747)
('FUTU', 'TCOM', 0.6454540660130803)
('FUTU', 'TIGR', 0.7070423895900247)
('GOOGL', 'GOOG', 0.9391661756603134)
('HOPE', 'HTBK', 0.6049186348781858)
('IREN', 'MARA', 0.6577972138255976)
('JD', 'LI', 0.6727916880967237)
('JD', 'MNSO', 0.651158993592569)
('JD', 'NIO', 0.6652725093906678)
('JD', 'NTES', 0.6587639629754088)
('JD', 'PDD', 0.7633245812518273)
('JD', 'TCOM', 0.7561956233843338)
('JD', 'TIGR', 0.6066582515382632)
('JD', 'VIPS', 0.6036268468954324)
('JD', 'XPEV', 0.6601293451173622)
('LI', 'NIO', 0.6398721154458205)
('LI', 'PDD', 0.6476398634635481)
('LI', 'TCOM', 0.6381428645322622)
('LI', 'XPEV', 0.6324703586476875)
('LILA', 'LILAK', 0.8196640429677275)
('MAA', 'UDR', 0.6065171245725081)
('MARA', 'MSTR', 0.6049746876099799)
('MARA', 'RIOT', 0.6944469615035292)
('MNSO', 'TCOM', 0.6252683506614739)
('NIO', 'NTES', 0.6016271473834264)
('NIO', 'PDD', 0.6327860621882572)
('NIO', 'XPEV', 0.7015780950163715)
('NTES', 'PDD', 0.6303200908432162)
('NTES', 'TCOM', 0.6156375006651924)
('NWS', 'NWSA', 0.8189287937819568)
('OGS', 'TPZ', 0.602899001736322)
('ONB', 'UMBF', 0.619794068070634)
('PDD', 'TCOM', 0.7045646034360731)
('PDD', 'VIPS', 0.6060328472563042)
('PDD', 'XPEV', 0.6125047882922372)
('PRLB', 'WAT', 0.6787710484337339)
('TCOM', 'XPEV', 0.6002499093254671)
('Z', 'ZG', 0.6727614271723534)
