Pair: DJT and DJTWW, Profit: 20642.099875966633
Pair: DJT and PHUN, Profit: 7551.554453944603
Pair: DJTWW and PHUN, Profit: 7091.224693978745
Pair: CCL and NCLH, Profit: 4848.308393777346
Pair: CLSK and RIOT, Profit: 4297.896511255117
Pair: CLSK and MARA, Profit: 3764.891259206261
Pair: LBRDK and LBRDA, Profit: 3320.8297274199454
Pair: Z and ZG, Profit: 3146.6206025386114
Pair: MARA and RIOT, Profit: 3132.4214382139394
Pair: LLYVK and LLYVA, Profit: 2522.649516761323
Pair: HOPE and SFNC, Profit: 2157.2198470795306
Pair: NVDA and TSM, Profit: 2055.1119114010344
Pair: HTH and MSBI, Profit: 2014.3643464730394
Pair: GOOGL and GOOG, Profit: 2014.1357183270652
Pair: GSHD and WS, Profit: 1807.411632197422
Pair: FRME and UBSI, Profit: 1742.302008617802
Pair: HOMB and PFS, Profit: 1722.04700721489
Pair: OCFC and SFNC, Profit: 1721.8556393754684
Pair: CNOB and UBSI, Profit: 1667.9225345180243
Pair: PFS and SFNC, Profit: 1597.6351513845677
Pair: CNOB and SFNC, Profit: 1560.5195184737647
Pair: AUB and FRME, Profit: 1515.398673628434
Pair: HTLF and UMBF, Profit: 1507.3346318316599
Pair: UBSI and VBTX, Profit: 1422.175208705362
Pair: COIN and RIOT, Profit: 1396.2359405302607
Pair: AVNT and REZI, Profit: 1385.8058519099993
Pair: LILA and LILAK, Profit: 1380.3557055041927
Pair: AUB and PB, Profit: 1357.1668158676414
Pair: ASB and SFNC, Profit: 1351.8276625007343
Pair: CHTR and LBRDK, Profit: 1341.95951770473
Pair: AUB and PFS, Profit: 1337.0153815673038
Pair: HGV and TNL, Profit: 1307.669000379408
Pair: GBCI and SSB, Profit: 1303.5399100291831
Pair: BY and SFNC, Profit: 1295.4025021090272
Pair: HOPE and UBSI, Profit: 1279.8961222540293
Pair: GBCI and UBSI, Profit: 1259.235241900227
Pair: IBTX and PFS, Profit: 1233.9472249594928
Pair: BUSE and UBSI, Profit: 1228.6453308147247
Pair: SFNC and WAFD, Profit: 1220.848564272951
Pair: SFNC and VBTX, Profit: 1184.211731684599
Pair: IBOC and UBSI, Profit: 1181.069885879593
Pair: NMCO and NMZ, Profit: 1180.1173044049344
Pair: SNV and UBSI, Profit: 1128.8342751321243
Pair: AUB and CNOB, Profit: 1117.9978468598513
Pair: AUB and UBSI, Profit: 1116.9224986934169
Pair: BY and UBSI, Profit: 1114.077222144178
Pair: FFBC and SFNC, Profit: 1103.5496888996472
Pair: PFS and SSB, Profit: 1095.317951298907
Pair: CBU and WSFS, Profit: 1079.8583577155762
Pair: HOMB and SFNC, Profit: 1078.1643451221491
Pair: CBU and SSB, Profit: 1076.4861897055032
Pair: TRMK and UBSI, Profit: 1066.2076817103562
Pair: FRME and PPBI, Profit: 1050.8888653438728
Pair: UBSI and WAFD, Profit: 1045.9317078714798
Pair: LBTYA and LBTYK, Profit: 1045.3266055971174
Pair: FIBK and GBCI, Profit: 1026.5757493637047
Pair: OCFC and UBSI, Profit: 1026.3310866408535
Pair: AVNT and FUL, Profit: 1022.3784946837173
Pair: HONE and UBSI, Profit: 1018.7628579680253
Pair: UBSI and WTFC, Profit: 1004.6091025792422
Pair: AUB and PPBI, Profit: 998.2891699850089
Pair: FFBC and UBSI, Profit: 990.7736202327629
Pair: CVBF and HOPE, Profit: 982.8033208740788
