Pair: TNONW and TNON, Profit: 536776.444232391
Pair: CLSK and RIOT, Profit: 5818.092683010828
Pair: UA and UAA, Profit: 5655.370672573552
Pair: GNTA and OPP, Profit: 5304.504279169799
Pair: CCL and NCLH, Profit: 4489.9986015674285
Pair: CLSK and MARA, Profit: 4473.56138304915
Pair: NIO and XPEV, Profit: 4124.461229177701
Pair: BILI and XPEV, Profit: 4107.7414520779175
Pair: BIDU and NTES, Profit: 3935.700882599808
Pair: BEKE and JD, Profit: 3775.5076327570723
Pair: Z and ZG, Profit: 3739.7669691930378
Pair: BABA and BEKE, Profit: 3569.618555246934
Pair: CUK and NCLH, Profit: 3550.9669939901823
Pair: LI and XPEV, Profit: 3514.429510377832
Pair: BILI and LI, Profit: 3375.0042079537825
Pair: BABA and LI, Profit: 3233.4446343327913
Pair: JD and NTES, Profit: 3228.0892803085544
Pair: BILI and JD, Profit: 3165.5035979325758
Pair: BABA and BILI, Profit: 3018.7037997273596
Pair: BIDU and FUTU, Profit: 2928.526677088581
Pair: JD and TCOM, Profit: 2856.5114137198557
Pair: ATEN and GLU, Profit: 2838.1085488504186
Pair: BABA and XPEV, Profit: 2792.1362503989585
Pair: BABA and BIDU, Profit: 2737.05467152615
Pair: BABA and NTES, Profit: 2729.282688066487
Pair: CCL and CUK, Profit: 2651.5155175871932
Pair: JD and LI, Profit: 2586.323333507174
Pair: JD and XPEV, Profit: 2502.501703960783
Pair: LLYVA and LLYVK, Profit: 2476.404513136554
Pair: MARA and RIOT, Profit: 2474.103541072118
Pair: LBRDA and LBRDK, Profit: 2446.8129382870916
Pair: COIN and MSTR, Profit: 2333.2014691521995
Pair: BABA and TCOM, Profit: 2299.225341541231
Pair: AMAT and LRCX, Profit: 2296.548185483312
Pair: BABA and JD, Profit: 2263.2949969079746
Pair: AUB and CATY, Profit: 2164.6103938857536
Pair: HOPE and NFBK, Profit: 2140.028169215943
Pair: BIDU and JD, Profit: 2104.7199627029386
Pair: ABCB and HTLF, Profit: 2101.6604831001678
Pair: SBCF and UCB, Profit: 2065.189208374229
Pair: BEKE and BIDU, Profit: 2058.2800846377954
Pair: BILI and PDD, Profit: 2023.4303703460102
Pair: CHX and SLB, Profit: 2000.7333453843664
Pair: CATY and CBU, Profit: 1968.3904200522204
Pair: CATY and WSFS, Profit: 1955.7457097092238
Pair: PFC and WSBC, Profit: 1906.5079380572383
Pair: BIDU and BILI, Profit: 1896.8911888484097
Pair: BABA and FUTU, Profit: 1875.417987909868
Pair: BIDU and LI, Profit: 1872.5485082129671
Pair: FBMS and RNST, Profit: 1806.6623304546533
Pair: BIDU and PDD, Profit: 1806.3963353895492
Pair: NTB and UCB, Profit: 1797.1378203460604
Pair: GOOG and GOOGL, Profit: 1788.7704330010145
Pair: FFBC and NTB, Profit: 1782.821276452927
Pair: EWBC and WTFC, Profit: 1773.8265163741305
Pair: BPOP and INDB, Profit: 1722.8142454782028
Pair: FCF and NFBK, Profit: 1714.5742305916474
Pair: FBMS and SBCF, Profit: 1701.0799202766514
Pair: FFBC and PFC, Profit: 1694.840676592617
Pair: TRMK and UCB, Profit: 1692.9153448828536
Pair: BIDU and XPEV, Profit: 1688.036629251229
Pair: JD and PDD, Profit: 1685.7859222182817
Pair: HOMB and PFC, Profit: 1684.0960179956219
Pair: BPOP and EWBC, Profit: 1675.0959519670764
Pair: CATY and PB, Profit: 1656.7326425837266
Pair: RNST and SBCF, Profit: 1642.5310324017105
Pair: FIBK and TRMK, Profit: 1632.7589015540566
Pair: STEL and UCB, Profit: 1631.1304712155008
Pair: AUB and CBU, Profit: 1624.6111167121114
Pair: CATY and UBSI, Profit: 1620.8624020168018
Pair: SBCF and UBSI, Profit: 1620.2382538204351
Pair: ASB and CBU, Profit: 1613.6755473105682
Pair: HOPE and VLY, Profit: 1610.4492924448546
Pair: SSB and WTFC, Profit: 1606.5491736736947
Pair: FUTU and LI, Profit: 1596.4552059999837
Pair: FBMS and UCB, Profit: 1591.690725622887
Pair: AUB and UBSI, Profit: 1584.7606425513977
Pair: BILI and FUTU, Profit: 1575.2193391965266
Pair: DAL and UAL, Profit: 1568.8036277391752
Pair: UBSI and UCB, Profit: 1558.3622744708955
Pair: EWBC and WBS, Profit: 1554.395082566703
