Pair: DJTWW and DJT, Profit: 34039.62127960831
Pair: LBRT and MNDR, Profit: 13329.420704394532
Pair: IREN and RIOT, Profit: 10197.052686207533
Pair: PEBK and SONN, Profit: 9005.993432030757
Pair: CLSK and RIOT, Profit: 7199.122326864132
Pair: CELC and FATE, Profit: 4515.534588674914
Pair: HBT and TOWN, Profit: 3568.9412238143286
Pair: LILA and LILAK, Profit: 3428.262143413355
Pair: SBSI and TRST, Profit: 3408.9499549998186
Pair: Z and ZG, Profit: 3333.148604962622
Pair: GBCI and TRST, Profit: 3280.68481646257
Pair: NBTB and NBHC, Profit: 3272.5904825373996
Pair: BUSE and CCNE, Profit: 3171.990317987317
Pair: FMNB and HBNC, Profit: 3155.0253105047145
Pair: FBMS and TRST, Profit: 3137.774934057492
Pair: GBCI and TCBK, Profit: 3071.26882630245
Pair: FMNB and SHBI, Profit: 3006.3790205771156
Pair: CCNE and CFB, Profit: 2995.0863242379132
Pair: GBCI and NBTB, Profit: 2945.64509070943
Pair: TRMK and TRST, Profit: 2923.0269629205245
Pair: FBK and TCBK, Profit: 2845.5263566471685
Pair: TCBK and TRST, Profit: 2830.2456746206212
Pair: CCNE and TRST, Profit: 2772.741123545841
Pair: THFF and TRST, Profit: 2747.878427352159
Pair: CFB and FMNB, Profit: 2738.021807095184
Pair: LKFN and TCBK, Profit: 2714.3375875262923
Pair: SBSI and TCBK, Profit: 2663.5805193854753
Pair: FBK and INDB, Profit: 2646.0805029471258
Pair: WABC and WSFS, Profit: 2630.178434690686
Pair: CTBI and SSB, Profit: 2629.4255584992106
Pair: IREN and MARA, Profit: 2628.4421002734653
Pair: TCBK and WABC, Profit: 2605.151491608044
Pair: BUSE and FMNB, Profit: 2588.5047125246674
Pair: NBTB and TCBK, Profit: 2578.444665910746
Pair: SBSI and THFF, Profit: 2561.82342504947
Pair: HFWA and TRST, Profit: 2555.8731263317122
Pair: NBTB and SBSI, Profit: 2510.391672226646
Pair: CCNE and FBMS, Profit: 2508.726668872824
Pair: HFWA and SHBI, Profit: 2506.5009842665268
Pair: EVBN and WSFS, Profit: 2474.431132459701
Pair: INDB and WABC, Profit: 2455.983618269191
Pair: FBMS and THFF, Profit: 2455.3078456788726
Pair: FBK and HTLF, Profit: 2446.2930217299095
Pair: HTLF and TCBK, Profit: 2408.997395119971
Pair: MSBI and SBSI, Profit: 2404.356474343091
Pair: PFBC and TCBK, Profit: 2396.1234751002285
Pair: FBK and SBSI, Profit: 2376.8649751347916
Pair: EVBN and TCBK, Profit: 2359.226896989616
Pair: NBHC and THFF, Profit: 2357.3546339233258
Pair: CCL and CUK, Profit: 2352.6018422927523
Pair: INDB and THFF, Profit: 2349.4862635017776
Pair: FBMS and GBCI, Profit: 2339.973225671314
Pair: MSBI and NBTB, Profit: 2321.1095823086707
Pair: NBTB and TRST, Profit: 2314.6429755362283
Pair: NBHC and TCBK, Profit: 2310.2132371555886
Pair: MBC and SHBI, Profit: 2301.3084250034967
Pair: FMBH and SBSI, Profit: 2293.4950965369508
Pair: CLSK and MARA, Profit: 2281.733080407653
Pair: FMBH and TRST, Profit: 2281.725276694543
Pair: HTLF and THFF, Profit: 2273.6203032318945
Pair: GBCI and NBHC, Profit: 2258.9594314519345
Pair: HTLF and NBTB, Profit: 2258.5742206422938
Pair: CFB and NFBK, Profit: 2247.6881933446543
Pair: BUSE and WASH, Profit: 2246.7796705363876
Pair: GBCI and SHBI, Profit: 2231.8576135995017
Pair: FBMS and NBTB, Profit: 2221.8072718741137
Pair: HBNC and NFBK, Profit: 2214.6487306975523
Pair: EXPO and FELE, Profit: 2203.1150707923957
Pair: SBSI and TRMK, Profit: 2197.7053604103526
Pair: FBMS and FMBH, Profit: 2162.6917923818796
Pair: BUSE and MSBI, Profit: 2159.1442542134782
Pair: SBSI and WABC, Profit: 2149.1823133736975
Pair: FBMS and TCBK, Profit: 2143.820860615157
Pair: EVBN and SSB, Profit: 2132.571537385423
Pair: FBK and TRST, Profit: 2132.422103292715
Pair: EVBN and INDB, Profit: 2131.330909783898
Pair: HTLF and WABC, Profit: 2126.8883633642236
Pair: NBHC and WABC, Profit: 2125.906547070568
Pair: FBMS and SBSI, Profit: 2118.8653659314555
Pair: LKFN and WSFS, Profit: 2112.2975448179404
Pair: EVBN and TRST, Profit: 2103.1881320021985
Pair: NFBK and TRST, Profit: 2098.9828450812697
Pair: MSBI and TRST, Profit: 2094.9526635281527
Pair: BUSE and TRST, Profit: 2091.0265788538827
Pair: TCBK and WSFS, Profit: 2086.909474584035
Pair: CFB and HBNC, Profit: 2079.5717387812647
Pair: FBMS and TRMK, Profit: 2074.519355060356
Pair: FMBH and INDB, Profit: 2065.113763712593
Pair: CFB and SHBI, Profit: 2052.991890461561
Pair: PFBC and WSFS, Profit: 2052.715067890664
Pair: BUSE and NFBK, Profit: 2042.672300258409
Pair: TCBK and TRMK, Profit: 2031.869542756136
Pair: FBK and NFBK, Profit: 2028.0095054927717
Pair: BUSE and MBC, Profit: 2024.982024613
Pair: NBHC and SBSI, Profit: 2017.6277753216
Pair: GBCI and INDB, Profit: 2005.0648860570325
Pair: FBMS and HFWA, Profit: 2001.9380077963797
Pair: NBHC and PFBC, Profit: 1982.6090471720347
Pair: BUSE and SHBI, Profit: 1982.0981738622131
Pair: FMNB and TRST, Profit: 1981.9094912596038
Pair: CFB and FLIC, Profit: 1967.476443987429
Pair: BWB and SHBI, Profit: 1961.5442927848665
Pair: INDB and TCBK, Profit: 1956.6120747013174
Pair: HFWA and SBSI, Profit: 1938.4521823259572
Pair: HTLF and TRMK, Profit: 1928.9916901873526
Pair: CFB and MSBI, Profit: 1920.5818995783904
Pair: FMBH and NBHC, Profit: 1919.7711324768422
Pair: FHB and OCFC, Profit: 1910.5590290779605
Pair: NBHC and TRST, Profit: 1905.176481721815
Pair: FBMS and WABC, Profit: 1894.986160836301
Pair: FBK and FELE, Profit: 1884.6400440945495
Pair: BWB and CFB, Profit: 1883.6811330358753
Pair: HTLF and TRST, Profit: 1883.0067009120405
Pair: INDB and SYBT, Profit: 1881.4313592858155
Pair: FBMS and NBHC, Profit: 1879.4966940089041
Pair: BY and WSBC, Profit: 1874.9081012529255
Pair: FBMS and MSBI, Profit: 1866.758373671593
Pair: IBTX and NBHC, Profit: 1861.3640561770871
Pair: IBTX and TRST, Profit: 1851.2200673727325
Pair: SSB and TCBK, Profit: 1848.7428424108814
Pair: EXPO and INDB, Profit: 1842.795983788121
Pair: SSB and WABC, Profit: 1835.1777825613706
Pair: HTLF and WSFS, Profit: 1826.364029629259
Pair: IBTX and SSB, Profit: 1826.1966093922185
Pair: FCF and HTH, Profit: 1825.0139253422572
Pair: MSBI and NBHC, Profit: 1818.408642729105
Pair: NFBK and SBSI, Profit: 1816.768231541051
Pair: NBHC and UMBF, Profit: 1811.1259928097497
Pair: BY and OCFC, Profit: 1809.395488498321
Pair: TCBK and UMBF, Profit: 1806.4793649341777
Pair: NFBK and WSBC, Profit: 1805.2026788465341
Pair: BUSE and FLIC, Profit: 1787.4516475581709
Pair: GBCI and WSFS, Profit: 1787.3575963632577
Pair: EBC and FHB, Profit: 1770.8770513192474
Pair: BUSE and HFWA, Profit: 1765.0746556548988
Pair: TRST and WABC, Profit: 1754.100840390435
Pair: HFWA and INDB, Profit: 1752.0153009659612
Pair: IBTX and TCBK, Profit: 1749.4299821378474
Pair: CFB and HFWA, Profit: 1748.9198014871502
Pair: MSBI and TCBK, Profit: 1748.645002624061
Pair: IBTX and WSFS, Profit: 1744.558026918896
Pair: FCF and PFS, Profit: 1743.1223894620862
Pair: FELE and TCBK, Profit: 1739.8051622922872
Pair: BUSE and HBNC, Profit: 1738.686238045404
Pair: FBK and NBHC, Profit: 1738.209790970267
Pair: UMBF and WABC, Profit: 1737.4866475309339
Pair: BUSE and NBTB, Profit: 1736.2934104841831
Pair: EXPO and SHBI, Profit: 1736.0858686818765
Pair: CFB and WASH, Profit: 1734.8403466376872
Pair: WASH and WSFS, Profit: 1722.2373038731491
Pair: NBTB and WSFS, Profit: 1720.0981356236166
Pair: FELE and INDB, Profit: 1717.4165359719627
Pair: GBCI and HBNC, Profit: 1716.1583848563887
Pair: HBNC and TRST, Profit: 1709.5659438538669
Pair: SYBT and TCBK, Profit: 1706.8691204790298
Pair: INDB and TRST, Profit: 1701.3424442846651
Pair: INDB and SSB, Profit: 1693.8238152780937
Pair: BUSE and WSBC, Profit: 1690.359015390678
Pair: HTBK and SHBI, Profit: 1685.1706916349037
Pair: CFB and NBTB, Profit: 1669.233528019137
Pair: FBK and UMBF, Profit: 1668.732048376074
Pair: TRST and UMBF, Profit: 1664.110383292039
Pair: FRST and HBNC, Profit: 1655.523106625967
Pair: EXPO and TRST, Profit: 1654.6907485252957
Pair: BUSE and FRST, Profit: 1644.5714683243366
Pair: MSBI and THFF, Profit: 1641.5993135975764
Pair: HTBK and NFBK, Profit: 1638.1101900941944
Pair: FBMS and INDB, Profit: 1636.3790622858528
Pair: FMBH and UMBF, Profit: 1630.6449769934384
Pair: INDB and UMBF, Profit: 1630.4619925336071
Pair: FRST and SBSI, Profit: 1630.0371309928298
Pair: FBMS and WSFS, Profit: 1628.6830050102174
Pair: NBHC and TFIN, Profit: 1627.8783274850248
Pair: THFF and WSFS, Profit: 1621.842263075552
Pair: CFB and FMBH, Profit: 1620.6383155436954
Pair: SSB and THFF, Profit: 1620.2587493017168
Pair: NBTB and UMBF, Profit: 1615.9516995575977
Pair: FLIC and TRST, Profit: 1614.3449229447706
Pair: HBNC and WASH, Profit: 1614.03013023471
Pair: HBNC and MSBI, Profit: 1612.3595800925116
Pair: HBNC and WSBC, Profit: 1607.6853727008945
Pair: MSBI and SHBI, Profit: 1607.6299806892446
Pair: HTLF and NFBK, Profit: 1605.7145708435557
Pair: FMNB and SSB, Profit: 1599.6094891350679
Pair: INDB and MSBI, Profit: 1595.055827715888
Pair: INDB and NBTB, Profit: 1591.5610435222566
Pair: BWB and TCBK, Profit: 1583.1304256261408
Pair: HTLF and SHBI, Profit: 1579.7088344926472
Pair: PFBC and TRST, Profit: 1577.6087082237714
Pair: BY and CVBF, Profit: 1576.702695159262
Pair: FMNB and INDB, Profit: 1576.4751111981318
Pair: HTLF and UMBF, Profit: 1573.275972498555
Pair: NBTB and SSB, Profit: 1571.8241152940443
Pair: HBNC and SHBI, Profit: 1571.6562626390623
Pair: CCNE and WSFS, Profit: 1571.2633160705395
Pair: BUSE and GBCI, Profit: 1570.0237174986637
Pair: SSB and WASH, Profit: 1566.125327630841
Pair: HTLF and TFIN, Profit: 1562.2656806793643
Pair: FMNB and NBHC, Profit: 1558.233619355992
Pair: INDB and SBSI, Profit: 1555.7733197033108
Pair: FLIC and WSFS, Profit: 1541.4308402157878
Pair: HTLF and SSB, Profit: 1539.478224505578
Pair: CFB and GBCI, Profit: 1538.5741156952229
Pair: INDB and WSFS, Profit: 1537.311801680388
Pair: BWB and TRST, Profit: 1528.5324545996293
Pair: IBTX and INDB, Profit: 1524.4485321267866
